2021-11-09 20:04:22.248458 2514 parked at 10
2021-11-09 20:05:21.354622 car 3329 parked at 2
2021-11-09 20:05:24.952021 car 4951 parked at 15
2021-11-09 20:05:30.616454 car 3188 parked at 16
2021-11-09 20:07:05.029323 car 9217 parked at 1
2021-11-09 20:07:08.210481 car 8910 parked at 12
2021-11-09 20:07:11.294022 car 4405 parked at 5
2021-11-09 20:07:14.128404 car 7595 parked at 4
2021-11-09 20:07:17.263499 car 5839 parked at 11
2021-11-09 20:07:23.384972 car 2936 parked at 18
2021-11-09 20:08:06.833797 car 6066 parked at 18
2021-11-09 20:08:10.750395 car 3109 parked at 8
2021-11-09 20:08:17.192525 car 6979 parked at 13
2021-11-09 20:08:25.508631 car 1992 parked at 6
2021-11-09 20:08:30.312177 car 8945 parked at 14
2021-11-09 20:08:35.064846 car 8665 parked at 19
2021-11-09 20:08:38.898331 car 5237 parked at 1
2021-11-09 20:08:44.937131 car  exited at 18
2021-11-09 20:09:50.097361 car 9102 parked at 5
2021-11-09 20:09:53.751140 car 8537 parked at 12
2021-11-09 20:09:58.041307 car 3286 parked at 19
2021-11-09 20:10:04.544304 car 7781 parked at 14
2021-11-09 20:10:07.556465 car 9648 parked at 9
2021-11-09 20:10:10.661893 car 7657 parked at 4
2021-11-09 20:10:14.272184 car 1424 parked at 11
2021-11-09 20:10:24.746795 car 8110 parked at 18
2021-11-09 20:10:31.074939 car 9331 parked at 2
2021-11-09 20:10:36.897260 car 4000 parked at 15
2021-11-09 20:10:40.552915 car 2116 parked at 7
2021-11-09 20:10:44.179842 car 8663 parked at 17
2021-11-09 20:10:49.385279 car 7781 exited at 14
2021-11-09 20:10:53.062712 car 8537 exited at 12
2021-11-09 20:10:59.038765 car 8445 parked at 13
2021-11-09 20:11:31.999888 car 1424 exited at 11
2021-11-09 20:11:43.541102 car 2232 parked at 3
2021-11-09 20:11:48.843260 car 2918 parked at 16
2021-11-09 20:11:53.553231 car 1658 parked at 20
2021-11-09 20:14:38.375394 car 1164 parked at 10
2021-11-09 20:14:43.948798 car 9696 parked at 19
2021-11-09 20:15:16.124823 car 6037 parked at 3
2021-11-09 20:15:19.330868 car 6564 parked at 4
2021-11-09 20:15:23.146187 car 1657 parked at 14
2021-11-09 20:15:33.138924 car 7400 parked at 12
2021-11-09 20:15:38.693804 car 1657 exited at 14
2021-11-09 20:15:44.118523 car 6564 exited at 4
2021-11-09 20:17:34.185389 car 9878 parked at 10
2021-11-09 20:17:40.399876 car 3813 parked at 3
2021-11-09 20:17:44.470313 car 7886 parked at 4
2021-11-09 20:17:47.964657 car 2102 parked at 18
2021-11-09 20:18:51.261410 car 7714 parked at 1
2021-11-09 20:20:11.242504 car 6647 parked at 13
2021-11-09 20:20:16.217857 car 8525 parked at 19
2021-11-09 20:20:21.772231 car 2252 parked at 2
2021-11-09 20:20:33.830094 car 3442 parked at 16
2021-11-09 20:20:42.551205 car 3590 parked at 9
2021-11-09 20:20:48.277886 car 6694 parked at 5
2021-11-09 20:21:03.371662 car 3030 parked at 7
2021-11-09 20:21:08.263656 car 7348 parked at 3
2021-11-09 20:21:14.161187 car 8876 parked at 17
2021-11-10 14:47:32.237662 car 2041 parked at 8
2021-11-10 14:50:20.032530 car 5659 parked at 9
2021-11-10 15:02:07.076942 car 5799 parked at 3
2021-11-10 15:02:13.841144 car 9010 parked at 4
2021-11-10 15:02:18.342116 car 5051 parked at 10
2021-11-10 15:02:57.994384 car 6087 parked at 20
2021-11-10 15:03:20.531800 car 3077 parked at 4
2021-11-10 15:03:26.480228 car 7671 parked at 6
2021-11-10 15:04:13.000603 car 2351 parked at 18
2021-11-10 15:04:36.457266 car 4442 parked at 17
2021-11-10 15:07:46.895848 car 9737 parked at 8
2021-11-10 15:07:56.054285 car 1942 parked at 12
2021-11-10 15:08:13.048257 car 8562 parked at 20
2021-11-10 15:11:36.160007 car 6267 parked at 8
2021-11-10 15:12:23.102180 car 9739 parked at 13
2021-11-10 15:12:45.705552 car 7869 parked at 18
2021-11-10 15:12:50.986818 car 3813 parked at 7
2021-11-10 15:13:03.861497 car 7028 parked at 5
2021-11-10 15:13:11.959659 car 8854 parked at 17
2021-11-10 15:22:32.199966 car 1210 parked at 5
2021-11-10 15:22:49.232475 car 9110 parked at 18
2021-11-10 15:24:14.141460 car 4105 parked at 2
2021-11-10 15:24:20.273949 car 7447 parked at 17
2021-11-10 15:24:27.614203 car 2462 parked at 7
2021-11-10 15:24:35.316538 car 7286 parked at 1
2021-11-10 15:24:41.119383 car 7577 parked at 6
2021-11-10 15:24:48.213323 car 4615 parked at 14
2021-11-10 15:25:10.607168 car 6439 parked at 3
2021-11-10 15:25:15.591826 car 1730 parked at 15
2021-11-10 15:25:28.043706 car 7577 exited at 6
2021-11-10 15:25:39.563990 car 1587 parked at 4
2021-11-10 15:25:44.244815 car 8312 parked at 10
2021-11-10 15:25:48.868282 car 6745 parked at 9
2021-11-10 15:25:53.303028 car 4176 parked at 12
2021-11-10 15:26:22.816257 car 7369 parked at 15
2021-11-10 15:27:35.843973 car 4622 parked at 6
2021-11-10 15:28:30.921498 car 4731 parked at 2
2021-11-10 16:53:56.329057 car 7233 parked at 20
2021-11-10 16:54:09.404262 car 2801 parked at 1
2021-11-10 16:54:43.411973 car 5029 parked at 16
2021-11-10 16:54:49.228942 car 2609 parked at 9
2021-11-10 16:57:39.108494 car 1906 parked at 9
2021-11-10 16:59:06.751586 car 5435 parked at 14
2021-11-10 16:59:11.692204 car 5242 parked at 18
2021-11-10 16:59:18.347354 car 2541 parked at 13
2021-11-10 16:59:22.631007 car 8289 parked at 11
2021-11-10 16:59:26.571317 car 8798 parked at 9
2021-11-10 16:59:29.575531 car 5431 parked at 10
2021-11-10 17:00:16.536354 car 5643 parked at 8
2021-11-10 17:00:19.637195 car 6682 parked at 10
2021-11-10 17:00:28.836692 car 7380 parked at 5
2021-11-10 17:00:31.714298 car 3784 parked at 15
2021-11-10 17:00:34.532507 car 7947 parked at 7
2021-11-10 17:00:37.415381 car 9084 parked at 1
2021-11-10 17:00:40.500887 car 9366 parked at 19
2021-11-10 17:00:43.371588 car 4848 parked at 9
2021-11-10 17:00:46.215945 car 8067 parked at 17
2021-11-10 17:00:49.158466 car 5257 parked at 3
2021-11-10 17:00:52.014922 car 1862 parked at 14
2021-11-10 17:00:55.165311 car 5380 parked at 4
2021-11-10 17:00:58.240846 car 4704 parked at 12
2021-11-10 17:01:55.535970 car 6852 parked at 10
2021-11-10 17:02:07.492537 car 8641 parked at 5
2021-11-10 17:02:12.908887 car 4585 parked at 9
2021-11-10 17:03:11.039350 car 7669 parked at 15
2021-11-10 17:03:15.750024 car 9025 parked at 1
2021-11-10 17:03:18.726526 car 5744 parked at 3
